這	这
來	来	
國	国
個	个	
說	说	
們	们
為	为
時	时
會	会
著	着
過	过
對	对
沒	没
還	还
祇	只
無	无
開	开
見	见
經	经
頭	头
從	从
動	动
兩	两
長	长
樣	样
現	现
將	将
與	与
進	进
實	实
點	点
種	种	
聲	声
話	话	
兒	儿	
問	问
機	机
給	给	
業	业
間	间		
甚	什	
電	电
門	门
東	东	
聽	听
氣	气
關	关
內	内	
卻	却
軍	军
產	产
萬	万	
體	体	
別	别
彆	别	
處	处		
總	总
纔	才
場	场	
師	师
書	书
員	员
華	华	
報	报
馬	马	
張	张
難	难	
數	数	
車	车	
應	应	
計	计
親	亲	
務	务
記	记	
邊	边
風	风
戰	战
許	许	
覺	觉	
題	题
統	统
請	请
愛	爱
讓	让
認	认
論	论	
佰	百	
義	义
術	术	
結	结	
連	连
遠	远
資	资
隊	队
帶	带
條	条
變	变
聯	联
權	权
該	该
領	领
傳	传	
紅	红	
決	决
達	达	
辦	办	
運	运
強	强
彊	强		
區	区	
轉	转	
眾	众
輕	轻
語	语	
滿	满
寫	写	
識	识
極	极
黃	黄
臉	脸
錢	钱
黨	党
設	设
雙	双
仟	千
廣	广
議	议
際	际
則	则
單	单
據	据
導	导
網	网
專	专
耑	专
誰	谁
讀	读
飛	飞
觀	观	
爭	争
組	组
視	视
濟	济	
離	离
雖	虽
編	编
寶	宝
談	谈
隨	随
劍	剑
講	讲
殺	杀
調	调	
團	团
終	终
樂	乐	
級	级
舉	举
證	证
証	证
費	费
爾	尔
熱	热
響	响
稱	称	
興	兴
約	约	
陽	阳
驚	惊
嗎	吗
漢	汉
號	号	
絕	绝
選	选
參	参	
亞	亚
傷	伤
類	类
備	备
歡	欢
勢	势
斷	断
陳	陈
農	农
唸	念
腦	脑
規	规
媽	妈
剛	刚
顯	显
陸	陆
確	确
澤	泽
緊	紧
幫	帮
線	线
願	愿
楊	杨
節	节
裝	装
歲	岁
嚴	严
鐵	铁
聞	闻
紀	纪	
腳	脚	
蘇	苏
標	标
飯	饭
醫	医
況	况
軟	软
擊	击
僅	仅
續	续
獨	独
羅	罗	
買	买
戶	户
護	护
責	责
項	项
衛	卫
圖	图
亂	乱
劉	刘
爺	爷
龍	龙
錯	错
創	创	
樹	树
靈	灵
職	职
鄉	乡
細	细
訴	诉
態	态
筆	笔
塊	块
質	质
灣	湾
韋	韦
圍	围
靜	静
園	园
輯	辑
夠	够
賽	赛
較	较	
樓	楼
孫	孙
詩	诗
敵	敌
試	试
謝	谢
懷	怀
顧	顾
驗	验
營	营
養	养
麗	丽	
屬	属	
惡	恶	
維	维
漸	渐	
勝	胜
異	异
負	负
銀	银
陣	阵
層	层
織	织
藥	药
館	馆
習	习
簡	简
歸	归
換	换
絲	丝
勞	劳	
婦	妇
評	评
絡	络	
環	环
禮	礼
壓	压	
獎	奖
趕	赶
蘭	兰
錄	录
畫	画
頓	顿
藝	艺
億	亿
繼	继
優	优
險	险
階	阶
擔	担	
訪	访
討	讨	
臨	临
吳	吴
搖	摇
練	练
構	构
廠	厂
協	协
揮	挥
齊	齐	
溫	温
紙	纸
頂	顶
尋	寻	
寧	宁	
賣	卖
順	顺
夢	梦
劇	剧
堅	坚
雜	杂	
貴	贵
舊	旧
積	积
縣	县
罷	罢	
揚	扬
脫	脱
彈	弹	
鄧	邓
鮮	鲜	
畢	毕
歐	欧
島	岛
載	载	
敗	败
槍	枪	
適	适	
虛	虚
預	预
紛	纷
銷	销
魚	鱼
盤	盘
訊	讯
趙	赵
燈	灯
狀	状
訂	订
鎮	镇
罵	骂
輸	输
詞	词
淚	泪
財	财
審	审
牆	墙
聖	圣
躍	跃
執	执
曉	晓
橋	桥
輩	辈
閃	闪
隱	隐
勁	劲	
鬧	闹
監	监	
廳	厅
庫	库
慶	庆
綠	绿	
額	额
誤	误
納	纳
遺	遗	
魯	鲁
貨	货
緩	缓
偉	伟
莊	庄
燒	烧
搶	抢	
